"Structure"	"New_Structure"
"Tr_02760"	"chr21:36259140-36259444 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93077630-93077675 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92978584-92978609"	"gdczvubrqcnonm"
"Tr_02761"	"chr21:36259140-36259444 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93077630-93077675 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972432-92972745"	"gdczvubrqcnonl"
"Tr_02762"	"chr21:36259140-36259444 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93077630-93077675 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"gdczvubrqcnonl"
"Tr_02763"	"chr21:36259140-36259444 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93077630-93077675 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93004044-93004117 chr8:92972432-92972549"	"gdczvubrql"
"Tr_02764"	"chr21:36259140-36259444 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93077630-93077675 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93006733-93006851"	"gdczvubra"
"Tr_02765"	"chr21:36259140-36259444 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93077630-93077675 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92978584-92978609"	"gdczvurqcnonm"
"Tr_02766"	"chr21:36259140-36259444 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93077630-93077675 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972432-92972745"	"gdczvurqcnonl"
"Tr_02767"	"chr21:36259140-36259444 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93077630-93077675 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"gdczvurqcnonl"
"Tr_02768"	"chr21:36259140-36259444 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93077630-93077675 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92978584-92978609"	"gdczvurqcnponm"
"Tr_02769"	"chr21:36259140-36259444 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93077630-93077675 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972432-92972745"	"gdczvurqcnponl"
"Tr_02770"	"chr21:36259140-36259444 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93077630-93077675 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"gdczvurqcnponl"
"Tr_02771"	"chr21:36259140-36259444 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93077630-93077675 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992124-92992159"	"gdczvurqcnp"
"Tr_02772"	"chr21:36259140-36259444 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93077630-93077675 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93017344-93017525 chr8:93004044-93004117 chr8:92972432-92972549"	"gdczvurql"
"Tr_02773"	"chr21:36259140-36259444 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93077630-93077675 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93017344-93017525 chr8:93006733-93006851"	"gdczvura"
"Tr_02774"	"chr21:36259140-36259444 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93077630-93077675 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992124-92992159"	"gdczvubrqcnp"
"Tr_02775"	"chr21:36259140-36259444 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93077630-93077675 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92978584-92978609"	"gdczvubrqcnponm"
"Tr_02776"	"chr21:36259140-36259444 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93077630-93077675 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972432-92972745"	"gdczvubrqcnponl"
"Tr_02777"	"chr21:36259140-36259444 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93077630-93077675 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"gdczvubrqcnponl"
"Tr_02778"	"chr21:36259140-36259444 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93077630-93077675 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92978584-92978609"	"gdczvubrqcnonm"
"Tr_02779"	"chr21:36259140-36259444 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93077630-93077675 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972432-92972745"	"gdczvubrqcnonl"
"Tr_02780"	"chr21:36259140-36259444 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93077630-93077675 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"gdczvubrqcnonl"
"Tr_02781"	"chr21:36259140-36259444 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93077630-93077675 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93004044-93004117 chr8:92972432-92972549"	"gdczvubrql"
"Tr_02782"	"chr21:36259140-36259444 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93077630-93077675 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93006733-93006851"	"gdczvubra"
"Tr_02783"	"chr21:36259140-36259444 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93077630-93077675 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93025320-93025400 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992124-92992159"	"gdczvusbrqcnp"
"Tr_02784"	"chr21:36259140-36259444 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93077630-93077675 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93025320-93025400 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92978584-92978609"	"gdczvusbrqcnponm"
"Tr_02785"	"chr21:36259140-36259444 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93077630-93077675 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93025320-93025400 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972432-92972745"	"gdczvusbrqcnponl"
"Tr_02786"	"chr21:36259140-36259444 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93077630-93077675 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93025320-93025400 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"gdczvusbrqcnponl"
"Tr_02787"	"chr21:36259140-36259444 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93077630-93077675 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93025320-93025400 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92978584-92978609"	"gdczvusbrqcnonm"
"Tr_02788"	"chr21:36259140-36259444 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93077630-93077675 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93025320-93025400 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972432-92972745"	"gdczvusbrqcnonl"
"Tr_02789"	"chr21:36259140-36259444 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93077630-93077675 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93025320-93025400 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"gdczvusbrqcnonl"
"Tr_02790"	"chr21:36259140-36259444 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93077630-93077675 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93025320-93025400 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93004044-93004117 chr8:92972432-92972549"	"gdczvusbrql"
"Tr_02791"	"chr21:36259140-36259444 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93077630-93077675 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93025320-93025400 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93006733-93006851"	"gdczvusbra"
"Tr_02792"	"chr21:36259140-36259444 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93077630-93077675 chr8:93029454-93029591 chr8:93026988-93027048 chr8:93003867-93004102 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92978584-92978609"	"gdczvuqcnonm"
"Tr_02793"	"chr21:36259140-36259444 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93077630-93077675 chr8:93029454-93029591 chr8:93026988-93027048 chr8:93003867-93004102 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972432-92972745"	"gdczvuqcnonl"
"Tr_02794"	"chr21:36259140-36259444 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93077630-93077675 chr8:93029454-93029591 chr8:93026988-93027048 chr8:93003867-93004102 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"gdczvuqcnonl"
"Tr_02795"	"chr21:36259140-36259444 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93077630-93077675 chr8:93029454-93029591 chr8:93026988-93027048 chr8:93003867-93004102 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92978584-92978609"	"gdczvuqcnponm"
"Tr_02796"	"chr21:36259140-36259444 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93077630-93077675 chr8:93029454-93029591 chr8:93026988-93027048 chr8:93003867-93004102 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972432-92972745"	"gdczvuqcnponl"
"Tr_02797"	"chr21:36259140-36259444 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93077630-93077675 chr8:93029454-93029591 chr8:93026988-93027048 chr8:93003867-93004102 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"gdczvuqcnponl"
"Tr_02798"	"chr21:36259140-36259444 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93077630-93077675 chr8:93029454-93029591 chr8:93026988-93027048 chr8:93003867-93004102 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992124-92992159"	"gdczvuqcnp"
"Tr_02799"	"chr21:36259140-36259444 chr21:36252854-36253010 chr8:93029454-93029591 chr8:92972432-92972745"	"gdvl"
"Tr_02800"	"chr21:36259140-36259444 chr21:36252854-36253010 chr8:93029454-93029591 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"gdvbrqcnonl"
"Tr_02801"	"chr21:36259140-36259444 chr21:36252854-36253010 chr8:93029454-93029591 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972432-92972745"	"gdvbrqcnonl"
"Tr_02802"	"chr21:36259140-36259444 chr21:36252854-36253010 chr8:93029454-93029591 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92978584-92978609"	"gdvbrqcnonm"
"Tr_02803"	"chr21:36259140-36259444 chr21:36252854-36253010 chr8:93029454-93029591 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92978584-92978609"	"gdvbrqcnponm"
"Tr_02804"	"chr21:36259140-36259444 chr21:36252854-36253010 chr8:93029454-93029591 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972432-92972745"	"gdvbrqcnponl"
"Tr_02805"	"chr21:36259140-36259444 chr21:36252854-36253010 chr8:93029454-93029591 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"gdvbrqcnponl"
"Tr_02806"	"chr21:36259140-36259444 chr21:36252854-36253010 chr8:93029454-93029591 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992124-92992159"	"gdvbrqcnp"
"Tr_02807"	"chr21:36259140-36259444 chr21:36252854-36253010 chr8:93029454-93029591 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93004044-93004117 chr8:92972432-92972549"	"gdvbrql"
"Tr_02808"	"chr21:36259140-36259444 chr21:36252854-36253010 chr8:93029454-93029591 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93006733-93006851"	"gdvbra"
"Tr_02809"	"chr21:36259140-36259444 chr21:36252854-36253010 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"gdvurqcnonl"
"Tr_02810"	"chr21:36259140-36259444 chr21:36252854-36253010 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972432-92972745"	"gdvurqcnonl"
"Tr_02811"	"chr21:36259140-36259444 chr21:36252854-36253010 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92978584-92978609"	"gdvurqcnonm"
"Tr_02812"	"chr21:36259140-36259444 chr21:36252854-36253010 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92978584-92978609"	"gdvurqcnponm"
"Tr_02813"	"chr21:36259140-36259444 chr21:36252854-36253010 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972432-92972745"	"gdvurqcnponl"
"Tr_02814"	"chr21:36259140-36259444 chr21:36252854-36253010 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"gdvurqcnponl"
"Tr_02815"	"chr21:36259140-36259444 chr21:36252854-36253010 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992124-92992159"	"gdvurqcnp"
"Tr_02816"	"chr21:36259140-36259444 chr21:36252854-36253010 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93017344-93017525 chr8:93004044-93004117 chr8:92972432-92972549"	"gdvurql"
"Tr_02817"	"chr21:36259140-36259444 chr21:36252854-36253010 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93017344-93017525 chr8:93006733-93006851"	"gdvura"
"Tr_02818"	"chr21:36259140-36259444 chr21:36252854-36253010 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92978584-92978609"	"gdvubrqcnonm"
"Tr_02819"	"chr21:36259140-36259444 chr21:36252854-36253010 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972432-92972745"	"gdvubrqcnonl"
"Tr_02820"	"chr21:36259140-36259444 chr21:36252854-36253010 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"gdvubrqcnonl"
"Tr_02821"	"chr21:36259140-36259444 chr21:36252854-36253010 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92978584-92978609"	"gdvubrqcnponm"
"Tr_02822"	"chr21:36259140-36259444 chr21:36252854-36253010 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972432-92972745"	"gdvubrqcnponl"
"Tr_02823"	"chr21:36259140-36259444 chr21:36252854-36253010 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"gdvubrqcnponl"
"Tr_02824"	"chr21:36259140-36259444 chr21:36252854-36253010 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992124-92992159"	"gdvubrqcnp"
"Tr_02825"	"chr21:36259140-36259444 chr21:36252854-36253010 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93004044-93004117 chr8:92972432-92972549"	"gdvubrql"
"Tr_02826"	"chr21:36259140-36259444 chr21:36252854-36253010 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93006733-93006851"	"gdvubra"
"Tr_02827"	"chr21:36259140-36259444 chr21:36252854-36253010 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"gdvurqcnonl"
"Tr_02828"	"chr21:36259140-36259444 chr21:36252854-36253010 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972432-92972745"	"gdvurqcnonl"
"Tr_02829"	"chr21:36259140-36259444 chr21:36252854-36253010 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92978584-92978609"	"gdvurqcnonm"
"Tr_02830"	"chr21:36259140-36259444 chr21:36252854-36253010 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92978584-92978609"	"gdvurqcnponm"
"Tr_02831"	"chr21:36259140-36259444 chr21:36252854-36253010 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972432-92972745"	"gdvurqcnponl"
"Tr_02832"	"chr21:36259140-36259444 chr21:36252854-36253010 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"gdvurqcnponl"
"Tr_02833"	"chr21:36259140-36259444 chr21:36252854-36253010 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992124-92992159"	"gdvurqcnp"
"Tr_02834"	"chr21:36259140-36259444 chr21:36252854-36253010 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93017344-93017525 chr8:93004044-93004117 chr8:92972432-92972549"	"gdvurql"
"Tr_02835"	"chr21:36259140-36259444 chr21:36252854-36253010 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93017344-93017525 chr8:93006733-93006851"	"gdvura"
"Tr_02836"	"chr21:36259140-36259444 chr21:36252854-36253010 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92978584-92978609"	"gdvubrqcnonm"
"Tr_02837"	"chr21:36259140-36259444 chr21:36252854-36253010 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972432-92972745"	"gdvubrqcnonl"
"Tr_02838"	"chr21:36259140-36259444 chr21:36252854-36253010 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"gdvubrqcnonl"
"Tr_02839"	"chr21:36259140-36259444 chr21:36252854-36253010 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92978584-92978609"	"gdvubrqcnponm"
"Tr_02840"	"chr21:36259140-36259444 chr21:36252854-36253010 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972432-92972745"	"gdvubrqcnponl"
"Tr_02841"	"chr21:36259140-36259444 chr21:36252854-36253010 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"gdvubrqcnponl"
"Tr_02842"	"chr21:36259140-36259444 chr21:36252854-36253010 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992124-92992159"	"gdvubrqcnp"
"Tr_02843"	"chr21:36259140-36259444 chr21:36252854-36253010 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93004044-93004117 chr8:92972432-92972549"	"gdvubrql"
"Tr_02844"	"chr21:36259140-36259444 chr21:36252854-36253010 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93006733-93006851"	"gdvubra"
"Tr_02845"	"chr21:36259140-36259444 chr21:36252854-36253010 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93025320-93025400 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92978584-92978609"	"gdvusbrqcnonm"
